Company,Position,Job ID / Link,Resume Version Used,Date Applied,Application Status,Follow-Up Date,Notes
Meta,"Data Engineer, Product Analytics",https://www.metacareers.com/jobs/3713685685437806/?rx_campaign=Linkedin1&rx_ch=connector&rx_group=126320&rx_id=ca4a2150-2473-11f0-8823-57e70cf68b44&rx_job=a1KDp00000E2KDCMA3_1009&rx_medium=post&rx_r=none&rx_source=Linkedin&rx_ts=20250823T061201Z&rx_vp=slots&utm_campaign=Job%2Bboard&utm_medium=jobs&utm_source=LIpaid&rx_viewer=9a0c97797d1f11f0841f5f92c199f5dfacba3ce0fcf54d3facea1f80dca572d7,Melissa Geist 2025_Resume,2025-08-19,Applied,2025-08-26,
Tree Top Staffing,Data Engineer,https://www.linkedin.com/jobs/view/4289921591/,Melissa Geist Data_Engineer_2025_Resume,2025-08-25,Position Closed,,submitted through linked in
Sales Force,Senior Data Engineer,JR308092,Melissa Geist Data_Engineer_2025_Resume,8/18/2025,Position Closed,,
incworx consulting,SQL Data Engineer,,SQL_Data_Engineer_Resume,8/18/2025,No Response,,Applied but no confirmation of application
Connect Tech+Talent,Data  Engineer (Python),https://www.linkedin.com/jobs/view/4283333784,Melissa Geist Data_Engineer_2025_Resume,8/25/2025,Position Closed,,submitted though linked in
Tech9,Data Engineer,https://careerstech9.applytojob.com/app/share/b0HSA5Fv32,Melissa Geist Data_Engineer_2025_Resume,8/28/2025,Applied,,Submitted at tech9 site
Summit Human Capital,Senior Data Engineer,https://www.linkedin.com/job-apply-resources/?jobPostingId=4292394783,Melissa Geist Data_Engineer_2025_Resume,8/28/2025,Position Closed,,
E-Solutions,Senior Data Engineer,https://www.linkedin.com/jobs/view/4275127732/,Melissa Geist Data_Engineer_2025_Resume,8/28/2025,Position Closed,,
Harnham,Senior Data Engineer,https://www.linkedin.com/job-apply-resources/?jobPostingId=4282183962,,8/29/2025,Position Closed,,
Blue Beam,Data Engineer III,https://careers.nemetschek.com/Bluebeam/job/Data-Engineer-III/1167606455/,,8/31/2025,Applied,,
Abacus Insights,Senior Data Engineer,https://boards.greenhouse.io/embed/job_app?token=8148146002&utm_source=jobright,,9/2/2025,Position Closed,,
Kitestring,Data Architech,https://kitestring.applytojob.com/apply/abgt7odYh4/Data-Architect,,9/2/2025,Applied,,
Microsoft,Sr. Data Scientist,https://jobs.careers.microsoft.com/global/en/job/1872297,,9/5/2025,Position Closed,,
Microsoft,Sr. Data Scientist,https://jobs.careers.microsoft.com/global/en/job/1868797,,9/5/2025,Position Closed,,
Yahoo,Sr. Cloud Data Engineer,JR0026378,,9/5/2025,Position Closed,,
LLH,Data Engineer,,,9/5/2025,Position Closed,,
NBC Universal,Data Engineer III,https://www.linkedin.com/jobs/view/4294480796,,9/5/2025,Position Closed,,
Franklin Fitch,Data Engineer,https://www.linkedin.com/jobs/view/4291619153,,9/7/2025,Position Closed,,
Curate Partners,Data Engineer,https://www.linkedin.com/jobs/view/4296462645,,9/7/2025,Position Closed,,
Community CareLink,Senior Data Engineer,https://www.linkedin.com/jobs/view/4268631595,,9/7/2025,Position Closed,,
Hallmark,Sr Dev Ops Engineer,SRDEV004638,,9/9/2025,Position Closed,,applied with elfbo email
Gene DX,Sr Data Warehouse Engineer,https://www.genedx.com/careers/openings/?gh_jid=4606477005,,9/9/2025,Applied,,
Yahoo,Data Engineer Consumer Data AI/ML,JR0026194,,9/10/2025,Position Closed,,
GE Vernova,Lead Data Engineer,R5019324,,9/10/2025,Applied,,
Next Venture,Senior Data Engineer,https://www.linkedin.com/jobs/view/4296752857,,9/10/2025,Position Closed,,
MeridianLink,Data Engineer,1813,,9/10/2025,Position Closed,,
CapTech,Data Engineer,https://www.linkedin.com/jobs/view/4298783180,,9/10/2025,Position Closed,,
Top Stack,Senior Data Engineer,,,9/10/2025,Applied,,
Top Stack,Sr Data Engineer,18496,,9/10/2025,Applied,,
Ledgent Technology,Data Engineer,https://www.linkedin.com/jobs/view/4296337991,,9/10/2025,Position Closed,,
aadhya technologies,Senior Data Engineer,https://www.linkedin.com/jobs/view/4298930023,,9/10/2025,Position Closed,,
Apartment IC,Senior Data Engineer,https://www.linkedin.com/jobs/view/4294879100,,9/10/2025,Applied,,
Beacon Hill,Azure Data Engineer,https://www.linkedin.com/jobs/view/4291595951,,9/10/2025,Position Closed,,
Henderson Engineers,Mid-Level Data Engineer,#886,,,Position Closed,7Xiq3rta #886,
Stellar Development Foundation,Data Engineer,,,9/15/2025,Applied,,
AccuWeather,Data Engineer II,,,9/15/2025,Applied,,
JS Technology Soultions,Senior Data Engineer,https://www.linkedin.com/jobs/view/4297099133/,,9/15/2025,Position Closed,Poland?!,
Veeva,Data Engineer,https://jobs.lever.co/veeva/11964953-5818-429f-92a5-465e5ed8a3fc/thanks,,9/15/2025,Applied,,
Ralliant,Microsoft Fabric Architect,,,9/17/2025,,,
Mayo Clinic,Data Engineer - Marketing,#367145,,9/18/2025,,Mayo Site,
Insight Global,Data Engineer,https://www.linkedin.com/jobs/view/4301967822/,,9/18/2025,Position Closed,,
SAIC,Senior Data Architect,,,9/18/2025,Position Closed,SAIC Site,
HSO,Azure Data Engineer,https://www.linkedin.com/jobs/view/4303817369/,,9/22/2025,Position Closed,,
Conexess Group,Data Engineer,https://www.linkedin.com/jobs/view/4291980133/,,9/22/2025,,,
Franklin Fitch,Database Developer,https://www.linkedin.com/jobs/view/4304169003/,,9/22/2025,Position Closed,,
CyberCoders,Remote Data Engineer-Fabric,https://www.linkedin.com/jobs/view/4300116966/,,9/20/2025,,,
Hengstler-Dynapar,"MS Fabric, AI & Data Arch",https://www.linkedin.com/jobs/view/4263472740/,,9/18/2025,,,
Stratacent,Fabric Data Engineer,https://www.linkedin.com/jobs/view/4299609545/,,9/18/2025,,,
CyberCoders (PCG),Data Engineer- Fabric,https://www.linkedin.com/jobs/view/4300133440/,,9/18/2025,Interview Scheduled,Now Data Governance Engineer,
Agusta Hitech,Data Engineer,https://www.linkedin.com/jobs/view/4301369411/,,9/18/2025,Position Closed,,
Motion Recruitment,Azure Data Engineer,,,,,,
Soni,Microsoft Azure Data Engineer,https://www.linkedin.com/jobs/view/4293023525,,10/15/2025,Position Closed,,
Perficient,Microsoft Fabric Solutions Architech,https://www.linkedin.com/jobs/view/4309806533,,10/15/2025,Interview Scheduled,Denied,
Quest Analytics,Sr. Data Engineer,Zip Recruiter,,,Position Closed,,
BC Forward,Azure Data Engineer,,,,Position Closed,,
Signature It World Inc,Microsoft Fabric Consultant,,,,Position Closed,,
Precision Technologies,Azure Data Engineer,,,,,,
Align Recruit Deliver,Senior Data Engineer,https://www.linkedin.com/jobs/view/4312095913,,10/21/2025,Applied,,
Starcom,Senior Data Engineer,https://careers-publicisgroupe.icims.com/jobs/125795,,10/21/2025,,,
Jobot,Senior Data Engineer,,,10/21/2025,No Response,,
Capco,Data Engineer-Azure Databricks & Fabric,https://job-boards.greenhouse.io/capco/jobs/7344701,,,,,
Rea,Data Engineer,https://www.linkedin.com/jobs/view/4311636354,,10/23/2025,,,
Interex Group,Azure Data Engineer,https://www.linkedin.com/jobs/view/4314970453,,10/23/2025,,,
Eliassen Group,Data Integration Engineer,https://www.linkedin.com/jobs/view/4307084925,,10/24/2025,No Response,,
Quisitive,Sr Data Solutions Architech,https://job-boards.greenhouse.io/quisitivejobs/jobs/7284433,,10/28/2025,,,
Morgan Hunter,Data Sciences Software Engineer,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=a9b9ee3e-6bb3-444b-b73f-df5d011e776f&ccId=19000101_000001&jobId=551684&lang=en_US,,11/5/2025,Applied,For AG Partners Cooperative Inc,
